Site Name,Neighborhood,Address,City,State,Zip Code,Type of Historic Resource,Date Built / Architect
Bensalem A.M.E. Church / Little Jerusalem A.M.E. Church,Bucks County,1200 Bridgewater Rd.,Bensalem,PA,19020,church,"ca. 1832; alterations, 1860, 1896"
19th District Police Station,Center City,825 Lombard St.,Philadelphia,PA,19147,police station,"1908, Bissell & Sinkler"
London Coffee House,Center City,Front and Market Sts.,Philadelphia,PA,19106,,"1702, Charles Reed"
Central Baptist Church Building / New Central Baptist Church Building,Center City,2127-2139 Lombard St.,Philadelphia,PA,19146,church,"1922, Druckenmiller & Williams; alterations, 1936, Richard R. Neely"
Royal Theater,Center City,1524-1534 South St.,Philadelphia,PA,19146,theater,"1919, Frank E. Hahn"
Pennsylvania Academy of Fine Arts,Center City,118-26 N. Broad St.,Philadelphia,PA,19102,"museum, school","1872, 1876; Frank Furness"
African Episcopal Church of St. Thomas Site #2,Center City,203-209 S. 12th St.,Philadelphia,PA,19107,church,"1889-1890, Frank Miller"
Washington Square,Center City,6th and Walnut St.,Philadelphia,PA,19106,"park, cemetery","1683, 1911; G. Bridgeport, JohnHaviland"
Mother Bethel A.M.E. Church,Center City,419 S. 6th St.,Philadelphia,PA,19147,"church, museum","1794; 1889, Hazlehurst & Huckel"
Durham Public School / Independent Charter School,Center City,1600 Lombard St.,Philadelphia,PA,19146,school,"1909-1910, Henry deCourcy Richards"
Earle Theater,Center City,11th and Market Sts.,Philadelphia,PA,19107,theater,"1921-1924, Hoffman-Henon Co.; alterations, 1925, 1928, Hoffman-Henon Co.; demolished 1953"
Chateau Crillon Apartment Building,Center City,222 S. 19th St.,Philadelphia,PA,19103,apartment house,"1928, Horace Trumbauer (Julian Abele)"
"Free Library of Philadelphia, Central Branch",Center City,1901 Vine St.,Philadelphia,PA,19103,library,"ca. 1927, Horace Trumbauer (Julian Abele)"
Hahnemann Medical College Out-patient's Building,Center City,15th St. above Race St.,Philadelphia,PA,19102,,"ca. 1947, Horace Trumbauer (Julian Abele)"
Jefferson Medical College Curtis Building,Center City,1015 Walnut St.,Philadelphia,PA,19107,,"ca. 1929, Horace Trumbauer (Julian Abele)"
