title,location,address,city,state,zip_code,subject,objectid,datebuilt_architect,date,headline,description,latitude,longitude,architect,filename,rights,format
St. Paul Church / Mask and Wig Club,Center City,312 S. Quince St.,Philadelphia,PA,19107,church,fulldata_29,"ca. 1834; alterations, 1843-1853; alterations, 1894, 1903, Wilson Eyre",1834,this is the second item in Timeline JS,the is the second description in my TimelineJS,39.94644,-75.160266,Wilson Eyre,https://upload.wikimedia.org/wikipedia/commons/4/4f/Mask%26Wig.jpg,"By George A. Eisenman, HABS photographer - Library of Congress, Historic American Buildings Survey, HABS PA,51-PHILA,551-1, Public Domain, https://commons.wikimedia.org/w/index.php?curid=7878092",image/jpeg
Meta V. Warrick Fuller House,Center City,254 S. 12th St.,Philadelphia,PA,19107,dwelling,fulldata_84,ca. 1840,1840,yes,,39.947046,-75.161209,,,,
Thomas J. Dorsey House,Center City,1231 Locust St.,Philadelphia,PA,19107,dwelling,fulldata_113,ca. 1840; demolished 1989,1840,TRUE,,39.947559,-75.159255,,,,
The Legendary Blue Horizon,North,1314 N. Broad St.,Philadelphia,PA,19121,clubhouse; dwelling; hall,fulldata_131,"ca. 1865, Carl P. Berger",1865,no,,39.973843,-75.159503,Carl P. Berger,,,
Raymond Pace Alexander / Cecil B. Moore House,North,1708 Jefferson St.,Philadelphia,PA,19121,dwelling,fulldata_214,ca. 1885,1885,,,39.976369,-75.164041,,,,
African Episcopal Church of St. Thomas Site #2,Center City,203-209 S. 12th St.,Philadelphia,PA,19107,church,fulldata_07,"1889-1890, Frank Miller",1889,,,39.9484753,-75.1603797,Frank Miller,https://upload.wikimedia.org/wikipedia/commons/3/30/African_Episcopal_Church_of_St._Thomas.jpg,"By unknown but June 1829 - http://archive.episcopalchurch.org/images/AAM_parchment_photo1829.jpg, Public Domain, https://commons.wikimedia.org/w/index.php?curid=32494834",image/jpeg
P.J. Augustine Restaurant,Center City,1105 Walnut St.,Philadelphia,PA,19107,restaurant,fulldata_18,"ca. 1901, J. Stuckert",1901,,,39.948947,-75.159239,J. Stuckert,,,
Durham Public School / Independent Charter School,Center City,1600 Lombard St.,Philadelphia,PA,19146,school,fulldata_10,"1909-1910, Henry deCourcy Richards",1909,,,39.972633,-75.155743,Henry deCourcy Richards,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Durham_School_in_Philly.JPG/1920px-Durham_School_in_Philly.JPG,"By Smallbones - Own work, Public Domain, https://commons.wikimedia.org/w/index.php?curid=9550522",image/jpeg
Jefferson Medical College Curtis Building,Center City,1015 Walnut St.,Philadelphia,PA,19107,,fulldata_15,"ca. 1929, Horace Trumbauer (Julian Abele)",1929,,,39.948773,-75.157591,Horace Trumbauer (Julian Abele),https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Jefferson_University_College_and_Curtis_Buildings_1025_Walnut_Street.jpg/1024px-Jefferson_University_College_and_Curtis_Buildings_1025_Walnut_Street.jpg?20130530194111,"By Beyond My Ken - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=26408466",image/jpeg
Mount Olivet Baptist Church Building,West,647 N. 42nd St.,Philadelphia,PA,19104,church,fulldata_418,ca. 1930s,1930,,,39.963826,-75.206813,,,,
